# M=32, N=16, max=1, PBC
# U/t                  E0/t                S1(l=16)             S1_OP(l=16)          S10.0(l=16)           S10.0_OP(l=16)        Sigma2_n(l=16)       H(10.0)              S10.0_OP(5) 
  -0.8885942846390915   -24.965364944597564  1.507537586741079    0.3576355981536349   0.849848416254757    0.10801156211984819  0.5839829798071179   0.7323486895247454   0.10794936334979793  
  -0.6530152297026794   -23.68552513510229   1.5036153107783892   0.3894682114250141   0.8254727637501938   0.1203549107746866   0.5436847337742989   0.6935455616794727   0.12026382285521922  
  -0.4798915518535437   -22.77907002006303   1.501844880339968    0.41080796876141135  0.8105665793023853   0.12885206627524132  0.5191230691738014   0.668527057008026    0.12873434667123712  
  -0.35266543729042454  -22.130298193627752  1.500993360660965    0.4256416101857894   0.8008771220979845   0.13487202771107323  0.5030827576184578   0.6515791586532631   0.13473114390339863  
  -0.2591687854867744   -21.66256859403434   1.5005681441522152   0.43616174480926545  0.7943380392351701   0.13920176730556444  0.49218060011813236  0.6397700513286823   0.13904159655460918  
  -0.19045943341302143  -21.32360851340078   1.5003506696475049   0.44371269337121866  0.7898145400544643   0.14234215005040257  0.4845843175666573   0.6313980152694175   0.1421664370415023   
  -0.13996591336366884  -21.077044626971166  1.5002376557842956   0.44917347080813935  0.7866316981701159   0.14463104111894792  0.4792050958755567   0.6253962731817887   0.14444310385050194  
  -0.1028589477174549   -20.897200888275094  1.5001782793561067   0.4531421121010796   0.7843651887628873   0.14630420979590217  0.4753541573485336   0.6210617874177959   0.1461068288943337   
  -0.07558956942646847  -20.765760925088678  1.5001468429466664   0.45603586024907466  0.7827373147919094   0.14752949889714248  0.47257656371048995  0.6179155672809884   0.14732491831806926  
  -0.055549693370130444 -20.66955669422339   1.5001301080393878   0.45815061846177474  0.7815608732393534   0.14842782426185894  0.4705626103023235   0.615623841211675    0.14821780791913702  
  -0.04082267509827884  -20.599066869296923  1.5001211643767436   0.45969852423840696  0.780706847718137    0.14908692307060184  0.46909690974392504  0.6139504072814239   0.14887283199175255  
  -0.030000000019365043 -20.547377599366033  1.5001163710523566   0.4608327804339763   0.780084843171397    0.14957073968981066  0.46802737019199014  0.6127263043344546   0.14935361014565568  
  0.030000000019365043  -20.26253912919718   1.5001162426886123   0.46707261354758056  0.7767205308402475   0.15224547792996035  0.4622102211255168   0.6060241621228173   0.15201080502351713  
  0.04082267509827884   -20.2114696950216    1.500120840902625    0.4681897464022221   0.7761284879016749   0.15272674032358102  0.4611804856752286   0.60482990987089     0.15248877308851572  
  0.055549693370130444  -20.14212763678154   1.5001292928005654   0.46970593744328604  0.775329955729029    0.15338110886278988  0.4597885144597882   0.6032117648392373   0.15313859301897984  
  0.07558956942646847   -20.04804882577665   1.5001447879106606   0.47176194273004435  0.7742563193830653   0.1542706728844409   0.4579111726892222   0.6010224686300175   0.15402184351136658  
  0.1028589477174549    -19.92054492554781   1.5001730970925842   0.47454680406862904  0.7728189790357779   0.15547973038688978  0.4553868455161023   0.5980660981497634   0.15522207490670223  
  0.13996591336366884   -19.747991192985502  1.5002245782262715   0.47831349235650744  0.7709058695653443   0.15712281406067355  0.452005931859631    0.5940837839146901   0.156852699570358    
  0.19045943341302143   -19.514931974564536  1.5003176247149712   0.48339917797198617  0.7683794603003734   0.15935589540250064  0.44750069768349476  0.5887363314740849   0.15906796019564476  
  0.2591687854867744    -19.200998833972328  1.5004844396567711   0.49025162489892266  0.7650785671102194   0.16239257955796785  0.4415354361837416   0.581583391931316    0.16207869471472125  
  0.35266543729042454   -18.779682848457554  1.5007803531123225   0.49946455368140114  0.7608281543421324   0.16652903628818744  0.43369779120656915  0.5720580761264353   0.16617644014714533  
  0.4798915518535437    -18.217104572764427  1.50129805141547     0.5118287120867324   0.7554644013590412   0.17218648119407048  0.4234901230958883   0.5594327192160965   0.1717742254051658   
  0.6530152297026794    -17.47113595931436   1.502187278397085    0.5284168883870728   0.7488881492328053   0.17999460961739974  0.4103118341435419   0.5427606321245827   0.17948632148067428  
  0.8885942846390915    -16.491660693651404  1.503675396248792    0.5507564993972627   0.7411740187705002   0.19098639384047503  0.39339743236962477  0.5207429872838969   0.19031438219812302  
  1.2091598584197905    -15.223683750736228  1.5060532588758881   0.5812609822289591   0.7328099410400651   0.20715071551055408  0.3715855487600237   0.4913439488529711   0.20617801506585418  
  1.6453713336763087    -13.61722182346173   1.5093424020402915   0.6244943246005552   0.7253667139372141   0.23338663999186302  0.34243643320503736  0.4504715510757795   0.231808688527942    
  2.238948644244412     -11.654598900741691  1.5095549226983525   0.6903652606375407   0.7244300664203195   0.2861755013216091   0.2986826424603066   0.38703232515212976  0.2832777500096637   
  3.0466624335574264    -9.429748869136166   1.4574908046908577   0.7782265481517127   0.7545829191581751   0.42697204276431694  0.2196403479158704   0.27378774321602084  0.4221098208204105   
  4.145763685965449     -7.278427632419002   1.2179288463589693   0.7687529662581576   0.810256442505937    0.647732805292487    0.11964120299172976  0.14144324151220974  0.6461982017616517   
  5.641372129238835     -5.49463653174502    0.9983933641317209   0.7194933092562086   0.7683311624951862   0.6948462419100159   0.06302530574507159  0.07232360641029224  0.6948371561941651   
  7.676530046391538     -4.097839376423203   0.8733209602119517   0.7015661712124283   0.7325441933727816   0.6941484507163664   0.033951705257607045 0.03837875076598741  0.6941484470963726   
  10.445883058791077    -3.0353356751892138  0.8000287970975501   0.6958535857792242   0.71399402342244     0.6934374847537231   0.01833068737445842  0.020556365671434863 0.6934374847950977   
  14.214296331612761    -2.2401126014598343  0.7564148797574256   0.6940166357754356   0.704284138190782    0.6932304788482779   0.009898975919341524 0.011053657831159074 0.693230478869228    
  19.34218668405074     -1.6499926882714704  0.7304291730583283   0.6934253296533731   0.6991270916175735   0.6931712530301196   0.005345914820253483 0.005955838571887392 0.6931712530394335   
  26.319993406119035    -1.2140507166306982  0.7150020147887097   0.693235683449233    0.6963666771360002   0.6931541668919591   0.002887083745534369 0.0032125102421249707 0.6931541668967133   
  35.81508462377594     -0.8927817250471685  0.7058918491447864   0.6931751831932772   0.6948829951443499   0.6931492127796712   0.001559187371597659 0.0017337823642474888 0.6931492127807909   
  48.73558540900003     -0.656327957118045   0.7005427875605235   0.6931559932334392   0.6940837772854812   0.6931477724261215   0.000842049760962027 0.0009360048581352397 0.693147772429312    
  66.31723225305974     -0.4824194683353355  0.6974194834088683   0.6931499402901925   0.693652751018881    0.6931473530518365   0.0004547547306259503 0.0005053979671269819 0.6931473530516208   
  90.2415607978742      -0.35456025163738475 0.6956051684949723   0.6931480409158434   0.6934201459899124   0.6931472308477922   0.0002455934736360632 0.00027291514202306566 0.6931472308480447   
  100.0                 -0.3199680000017547  0.6951898114929803   0.6931477634014052   0.6933694583561981   0.69314721390642     0.0002000000072257535 0.00022224444972175126 0.6931472139065672   
