# M=32, N=16, max=1, PBC
# U/t                  E0/t                S1(l=16)             S1_OP(l=16)          S10.0(l=16)           S10.0_OP(l=16)        Sigma2_n(l=16)       H(10.0)              S10.0_OP(5) 
  -0.030000000019365043 -20.547377599366033  1.5001163710523566   0.4608327804339763   0.780084843171397    0.14957073968981066  0.46802737019199014  0.6127263043344546   0.14935361014565568  
  -0.04082267509827884  -20.599066869296923  1.5001211643767436   0.45969852423840696  0.780706847718137    0.14908692307060184  0.46909690974392504  0.6139504072814239   0.14887283199175255  
  -0.055549693370130444 -20.66955669422339   1.5001301080393878   0.45815061846177474  0.7815608732393534   0.14842782426185894  0.4705626103023235   0.615623841211675    0.14821780791913702  
  -0.07558956942646847  -20.765760925088678  1.5001468429466664   0.45603586024907466  0.7827373147919094   0.14752949889714248  0.47257656371048995  0.6179155672809884   0.14732491831806926  
  -0.1028589477174549   -20.897200888275094  1.5001782793561067   0.4531421121010796   0.7843651887628873   0.14630420979590217  0.4753541573485336   0.6210617874177959   0.1461068288943337   
  -0.13996591336366884  -21.077044626971166  1.5002376557842956   0.44917347080813935  0.7866316981701159   0.14463104111894792  0.4792050958755567   0.6253962731817887   0.14444310385050194  
  -0.19045943341302143  -21.32360851340078   1.5003506696475049   0.44371269337121866  0.7898145400544643   0.14234215005040257  0.4845843175666573   0.6313980152694175   0.1421664370415023   
  -0.2591687854867744   -21.66256859403434   1.5005681441522152   0.43616174480926545  0.7943380392351701   0.13920176730556444  0.49218060011813236  0.6397700513286823   0.13904159655460918  
  -0.35266543729042454  -22.130298193627752  1.500993360660965    0.4256416101857894   0.8008771220979845   0.13487202771107323  0.5030827576184578   0.6515791586532631   0.13473114390339863  
  -0.4798915518535437   -22.77907002006303   1.501844880339968    0.41080796876141135  0.8105665793023853   0.12885206627524132  0.5191230691738014   0.668527057008026    0.12873434667123712  
  -0.6530152297026794   -23.68552513510229   1.5036153107783892   0.3894682114250141   0.8254727637501938   0.1203549107746866   0.5436847337742989   0.6935455616794727   0.12026382285521922  
  -0.8885942846390915   -24.965364944597564  1.507537586741079    0.3576355981536349   0.849848416254757    0.10801156211984819  0.5839829798071179   0.7323486895247454   0.10794936334979793  
  -1.2091598584197905   -26.801707402250873  1.5173639670485513   0.3064712336929587   0.8945077959893594   0.08894792857604016  0.6597244587486699   0.7987455448590051   0.08891464374445311  
  -1.6453713336763087   -29.514062616111964  1.5514919452044167   0.20533097418438945  1.0037148047740103   0.054025393570066624 0.8646298046013214   0.9464103506902047   0.054017054475777704 
  -2.238948644244412    -34.81851210129127   3.372931346284669    0.6263103546811991   2.9971466858035636   0.5465949616490867   19.38848018809557    2.650394036021709    0.520753786956871    
  -3.0466624335574264   -46.44830701841286   3.4343126292157016   0.634772075181979    3.1139538742707034   0.5932892035077257   21.11958414748196    2.7528160971025013   0.5716036296724143   
  -4.145763685965449    -62.70077897163697   3.450433292894156    0.6412242159814948   3.2599150932741527   0.6081800741802097   21.352281565851584   2.7678076244050014   0.5899659138741485   
  -5.641372129238835    -84.98700577421748   3.4577613348408174   0.6450139774468948   3.3589877219911584   0.6192976832418091   21.431199237438335   2.774137115005263    0.6031178119319838   
  -7.676530046391538    -115.41306295933357  3.461483493935605    0.6471659731891484   3.412872313741482    0.6284002888594615   21.465478302911094   2.7769595611571587   0.613149752041684    
  -10.445883058791077   -156.8814964553908   3.463448560189879    0.6483670814711082   3.4394125009946928   0.6355182196175676   21.482053565304554   2.778310335445007    0.6205873102150936   
  -14.214296331612761   -213.35585175877438  3.4645015711960574   0.6490300275626286   3.452311744319236    0.6407634887127507   21.49050125910138    2.7789902921139853   0.625858930150836    
  -19.34218668405074    -290.23647905774675  3.4650690961538744   0.6493931779883706   3.458738781084351    0.644362649661018    21.49492504831447    2.7793432916876983   0.6293786996114663   
  -26.319993406119035   -394.87599896202534  3.4653755945978713   0.6495910924064938   3.4620339880441726   0.6466609043244032   21.49727502527938    2.7795298265108355   0.6315859868925666   
  -35.81508462377594    -537.2821553511357   3.465541219313704    0.6496985910682962   3.4637595819522704   0.6480430163110373   21.498532928125954   2.7796293754725863   0.6328985379922236   
  -48.73558540900003    -731.0748362027192   3.465630722884918    0.6497568525981021   3.464675337471281    0.6488392958297273   21.499209024928476   2.779682791470185    0.6336497246084424   
  -66.31723225305974    -994.7886487303132   3.4656790846811867   0.6497883853099804   3.4651651204113003   0.6492856316218147   21.499573214662632   2.7797115383800635   0.6340691893416073   
  -90.2415607978742     -1353.6455774275319  3.4657052124246905   0.6498054370216554   3.4654282280424513   0.6495317512287606   21.499769624123715   2.779727033985858    0.63430000290738     
  -100.0                -1500.0200020004004  3.4657109088971674   0.6498091562544377   3.465485449792529    0.6495858889206945   21.49981241246489    2.7797304090217865   0.6343507272604643   
